full_date,pm2.5,temperature,pressure
2010-01-01,90.44257274119448,-11.0,1021.0
2010-01-01,90.44257274119448,-12.0,1020.0
2010-01-01,90.44257274119448,-11.0,1019.0
2010-01-01,90.44257274119448,-14.0,1019.0
2010-01-01,90.44257274119448,-12.0,1018.0
2010-01-01,90.44257274119448,-10.0,1017.0
2010-01-01,90.44257274119448,-9.0,1017.0
2010-01-01,90.44257274119448,-9.0,1017.0
2010-01-01,90.44257274119448,-9.0,1017.0
2010-01-01,90.44257274119448,-8.0,1017.0
2010-01-01,90.44257274119448,-7.0,1017.0
2010-01-01,90.44257274119448,-5.0,1017.0
2010-01-01,90.44257274119448,-5.0,1015.0
2010-01-01,90.44257274119448,-3.0,1015.0
2010-01-01,90.44257274119448,-2.0,1014.0
2010-01-01,90.44257274119448,-1.0,1014.0
2010-01-01,90.44257274119448,-2.0,1015.0
2010-01-01,90.44257274119448,-3.0,1015.0
2010-01-01,90.44257274119448,-5.0,1016.0
2010-01-01,90.44257274119448,-4.0,1017.0
2010-01-01,90.44257274119448,-5.0,1017.0
2010-01-01,90.44257274119448,-5.0,1018.0
2010-01-01,90.44257274119448,-5.0,1018.0
2010-01-01,90.44257274119448,-5.0,1020.0
2010-01-02,129.0,-4.0,1020.0
2010-01-02,148.0,-4.0,1020.0
2010-01-02,159.0,-5.0,1021.0
2010-01-02,181.0,-5.0,1022.0
2010-01-02,138.0,-5.0,1022.0
2010-01-02,109.0,-6.0,1022.0
2010-01-02,105.0,-6.0,1023.0
2010-01-02,124.0,-5.0,1024.0
2010-01-02,120.0,-6.0,1024.0
2010-01-02,132.0,-5.0,1025.0
2010-01-02,140.0,-5.0,1026.0
2010-01-02,152.0,-5.0,1026.0
2010-01-02,148.0,-5.0,1026.0
2010-01-02,164.0,-5.0,1025.0
2010-01-02,158.0,-5.0,1025.0
2010-01-02,154.0,-5.0,1025.0
2010-01-02,159.0,-5.0,1026.0
2010-01-02,164.0,-5.0,1027.0
2010-01-02,170.0,-5.0,1027.0
2010-01-02,149.0,-5.0,1028.0
2010-01-02,154.0,-5.0,1028.0
2010-01-02,164.0,-5.0,1027.0
2010-01-02,156.0,-6.0,1028.0
2010-01-02,126.0,-6.0,1027.0
2010-01-03,90.0,-6.0,1027.0
2010-01-03,63.0,-6.0,1026.0
2010-01-03,65.0,-7.0,1026.0
2010-01-03,55.0,-7.0,1025.0
2010-01-03,65.0,-7.0,1024.0
2010-01-03,83.0,-8.0,1024.0
2010-01-03,91.0,-8.0,1024.0
2010-01-03,86.0,-9.0,1024.0
2010-01-03,82.0,-9.0,1024.0
2010-01-03,86.0,-9.0,1023.0
2010-01-03,78.0,-9.0,1023.0
2010-01-03,98.0,-9.0,1022.0
2010-01-03,107.0,-9.0,1021.0
2010-01-03,90.0,-9.0,1020.0
2010-01-03,96.0,-9.0,1020.0
2010-01-03,95.0,-9.0,1020.0
2010-01-03,86.0,-9.0,1020.0
2010-01-03,70.0,-9.0,1020.0
2010-01-03,61.0,-9.0,1021.0
2010-01-03,53.0,-9.0,1022.0
2010-01-03,71.0,-9.0,1022.0
2010-01-03,72.0,-10.0,1023.0
2010-01-03,76.0,-9.0,1023.0
2010-01-03,73.0,-11.0,1023.0
2010-01-04,79.0,-12.0,1023.0
2010-01-04,58.0,-9.0,1023.0
2010-01-04,25.0,-10.0,1024.0
2010-01-04,26.0,-11.0,1024.0
2010-01-04,28.0,-11.0,1025.0
2010-01-04,26.0,-12.0,1026.0
2010-01-04,20.0,-12.0,1027.0
2010-01-04,29.0,-13.0,1027.0
2010-01-04,26.0,-13.0,1028.0
2010-01-04,27.0,-13.0,1029.0
2010-01-04,27.0,-12.0,1030.0
2010-01-04,25.0,-12.0,1031.0
2010-01-04,29.0,-11.0,1030.0
2010-01-04,32.0,-10.0,1030.0
2010-01-04,28.0,-10.0,1030.0
2010-01-04,29.0,-9.0,1030.0
2010-01-04,30.0,-9.0,1031.0
2010-01-04,30.0,-11.0,1032.0
2010-01-04,28.0,-11.0,1032.0
2010-01-04,26.0,-12.0,1033.0
2010-01-04,31.0,-12.0,1034.0
2010-01-04,33.0,-13.0,1034.0
2010-01-04,29.0,-13.0,1035.0
2010-01-04,31.0,-15.0,1035.0
2010-01-05,30.0,-17.0,1035.0
